~from,~to
38709,137559
29310,90848
66678,142234
27305,91683
16345,14474
75307,114238
38503,32024
72527,36969
125388,115610
11781,62848
84986,129465
80301,103546
142878,27373
65742,8217
53535,34586
3332,34586
12801,57511
3014,44229
139797,44229
131493,44229
109550,44229
140766,44229
86906,108474
43851,116276
95491,21013
73901,36930
105936,52056
110603,13570
60213,13570
82741,28419
39545,46094
107548,59877
17863,3186
108882,103672
61269,6281
109275,47886
13336,72923
32487,126
106731,92961
43723,92961
24717,58987
79794,45531
34937,79663
23313,57644
131167,48011
88729,88514
79477,122765
70811,80656
33089,90225
85456,90225
18925,90225
19368,2640
130663,45297
68693,33731
135166,28943
7124,85905
93740,78010
2009,64521
3035,10454
33736,67680
110897,123035
72119,129966
28829,117578
134049,34586
28766,69072
132962,44229
71367,56391
47424,5118
104957,56750
138816,25667
131345,99194
50580,92961
116234,92961
61629,77609
39545,12584
136376,2506
30279,51262
15811,6742
93406,98307
27962,138415
42219,127483
106551,143733
17863,142995
107825,101879
3014,79599
133599,104257
134242,55284
112035,67706
18401,67706
66704,69930
53170,68408
85256,12157
16725,38055
12179,78768
18401,78768
44013,61290
110203,113188
140013,48494
58102,25603
115761,1771
16345,54132
130846,111541
92265,83173
98791,41572
59253,50692
115715,90187
33736,51547
138998,111236
131084,103077
13562,62505
10603,95976
24517,78010
29686,27659
14226,28392
98421,10454
58422,59857
40521,93439
55977,66926
34377,19324
90868,58046
21651,131964
101720,45010
125298,14316
140013,118959
93740,84322
48585,90461
4735,36201
82715,36201
130492,25167
84986,79794
28814,50018
61585,37197
25315,18997
85281,90585
49891,42349
9106,100930
499,4713
63942,49451
122452,103990
48139,13089
39545,40507
124302,40307
90156,2100
78815,81662
57972,104433
59102,6902
6212,58968
46949,128157
85456,97687
83871,97687
79082,137386
42432,136923
98689,48304
30605,21679
118092,83510
81236,80304
79082,58217
108733,133934
105525,48647
137667,109808
17995,57648
80834,127483
110136,134489
30246,95616
81978,27529
28829,74564
136267,84154
21939,78768
59228,118626
45540,12944
65167,12944
57503,29288
90033,132660
7124,132660
100349,56724
57321,103077
19719,32262
32632,93266
6124,110288
140178,955
37953,56802
16595,84322
72367,99492
119434,63120
72119,79794
17863,134054
14226,45421
97119,99073
7980,257
131391,37197
29892,37197
131084,51930
97574,26607
82260,129966
48303,85705
25895,129604
11420,68022
76572,97929
104032,116927
32056,45764
48784,111037
20059,120704
107080,73180
87753,4711
117919,27081
69347,2100
58984,118125
70486,80030
21497,55612
63445,67138
65742,1738
20755,14861
84986,104433
45952,68217
143500,83468
60525,84689
96106,84689
55550,107913
134925,31160
2177,10695
82120,47167
9589,27693
125298,91883
33544,73211
76674,24636
113630,104604
64510,114509
64621,111282
124302,50680
87540,39545
71111,56942
123937,59255
116234,62993
8227,133791
58936,83574
53087,127957
56974,23503
124016,72763
31897,61828
90502,26307
30247,20280
86136,40507
88025,4079
64498,64498
63725,8577
80150,93434
29705,103107
110116,13553
1186,69244
93098,45094
133652,52798
75301,139311
81330,73999
53543,73999
16725,73999
110102,140294
105683,132304
19917,132304
71415,139773
129225,17262
106279,130963
140766,130963
80150,16335
105525,140188
96912,102351
100550,95212
110170,25375
136419,100111
29620,9399
66406,9399
3642,72231
101095,67531
44606,7335
50173,60194
130918,60194
110897,23898
6212,17657
111763,133944
65218,88063
118285,25569
90499,95121
45952,59904
61585,69322
103428,139517
112092,82324
110599,82324
104493,82324
126326,121337
78716,30815
21767,138517
54120,116199
57887,122441
132803,8109
61269,29443
127370,59754
65742,117064
54949,108424
129966,138512
82260,138512
14323,48939
53690,58186
56149,13390
27962,97814
18914,106852
94609,119507
136419,133326
85648,143203
49026,101412
83421,58353
108325,58353
120764,58353
32859,35945
85256,57198
67026,112296
66374,62064
73901,51036
131167,113998
68254,4898
106290,4898
103608,3329
25855,137610
2134,47175
16462,50540
1838,87260
93740,41407
41325,37873
18791,113546
69686,113546
126000,16885
136419,120447
80472,11669
70486,11669
25445,11692
86755,11692
60342,11692
17320,17990
17535,124579
22531,4622
72119,896
113630,62028
78169,123196
60082,69565
80472,9046
46251,116840
118809,6479
114431,103994
30605,95334
16008,4188
42439,55419
118092,1356
82485,56498
132022,63227
121275,130963
32820,87880
44994,137610
56433,16160
3642,8385
139387,42028
96106,11930
105152,103740
18389,103740
85256,129228
41438,122660
110897,93243
61977,115869
29981,115869
118809,98630
7646,118453
56069,93848
72119,88621
14005,123549
999,121968
83726,78930
107825,33259
19526,88281
70486,141947
87696,141947
87976,120181
128655,111959
142645,20766
130987,124305
74930,49074
122648,53237
79578,89680
15316,48699
79511,119232
58908,33338
33300,99502
58801,55016
64433,74997
26906,82002
57298,45363
43503,643
13496,59324
21767,53608
47932,137675
115908,20455
55710,78838
5945,7482
49857,68162
65167,71397
77688,12101
31791,91067
60342,4949
20568,109160
79466,123048
108710,125910
999,57308
63725,135139
79794,116942
98091,81081
121638,70309
53690,119121
53407,43212
141532,73096
131084,31172
18290,31172
82485,64131
17902,23596
121224,72810
140178,92438
80906,92438
76898,92438
55550,62967
81978,842
10780,125930
101597,23483
39065,125361
98998,15770
4222,25714
3642,70546
77688,9656
134242,62556
109743,93225
67438,113376
64972,1404
45291,102742
27126,102742
50906,4472
72119,107761
38709,107761
39339,120538
98791,64278
45088,138681
42405,138681
58422,138681
19147,15205
83429,14963
135531,33963
108246,23261
116234,37902
10603,118504
40491,110432
55973,61334
